Date,Disney+,ESPN+,Hulu,Peacock,Apple TV+,HBO Max,Netflix,CBS All Access,Starz,Amazon
9/28/2019,,3500000,28500000,,,,167090000,10400000,7700000,142000000
10/5/2019,,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A
10/12/2019,,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A
10/19/2019,,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A
10/26/2019,,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A
11/2/2019,,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
11/9/2019,,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
11/16/2019,10000000,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
11/23/2019,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
11/30/2019,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
12/7/2019,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
12/14/2019,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
12/21/2019,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
12/28/2019,26500000,6600000,30400000,,33600000,,#N/A,11200000,8600000,#N/A
1/4/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
1/11/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
1/18/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
1/25/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
2/1/2020,28600000,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,150000000
2/8/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
2/15/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
2/22/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
2/29/2020,#N/A,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A
